nr,x1,y1,h
14xA48x4,6010719.43,6568938.92,-1.67
14xA48x5,6010717.61,6568939.35,-1.58
14xA49x1,6010725.87,6568939.72,-1.77
14xA49x2,6010723.95,6568940.24,-1.70
14xA49x3,6010722.20,6568940.82,-1.72
14xA49x4,6010720.14,6568941.28,-1.61
14xA49x5,6010718.20,6568941.84,-1.56
14xA50x1,6010726.61,6568941.76,-1.73
14xA50x2,6010724.71,6568942.45,-1.72
14xA50x3,6010722.80,6568943.06,-1.68
14xA50x4,6010720.91,6568943.72,-1.66
14xA50x5,6010718.99,6568944.30,-1.59
14xA51x1,6010727.42,6568943.92,-1.82
14xA51x2,6010725.64,6568944.54,-1.73
14xA51x3,6010723.63,6568945.31,-1.71
14xA51x4,6010721.79,6568946.02,-1.58
14xA51x5,6010720.08,6568946.80,-1.59
14xA52x1,6010728.29,6568945.88,-1.75
14xA52x2,6010726.52,6568946.69,-1.68
14xA52x3,6010724.72,6568947.53,-1.68
14xA52x4,6010722.74,6568948.30,-1.64
14xA52x5,6010720.93,6568949.25,-1.53
14xA53x1,6010729.36,6568947.94,-1.75
14xA53x2,6010727.58,6568948.79,-1.72
14xA53x3,6010725.68,6568949.63,-1.67
14xA53x4,6010723.94,6568950.57,-1.60
14xA53x5,6010722.14,6568951.38,-1.51
14xA54x1,6010730.24,6568949.83,-1.78
14xA54x2,6010728.65,6568950.73,-1.63
14xA54x3,6010726.94,6568951.79,-1.66
14xA54x4,6010725.12,6568952.87,-1.56
14xA54x5,6010723.39,6568953.79,-1.53
14xA55x1,6010731.39,6568951.65,-1.68
14xA55x2,6010729.77,6568952.67,-1.65
14xA55x3,6010728.15,6568953.84,-1.67
14xA55x4,6010726.47,6568954.87,-1.57
14xA55x5,6010724.83,6568956.03,-1.49
